Assetid | 12345, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Nginx,additional_info | IP:10.20.30.44;Hname:hname1;owner:abc@xyz.com
Assetid | 12346, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Tomcat,additional_info | IP:10.20.30.45;Hname:hname1;owner:abc@xyz.com
Assetid | 12347, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Apache,additional_info | IP:10.20.30.46;Hname:hname1;owner:abc@xyz.com
Assetid | 12348, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Nginx,additional_info | IP:10.20.30.44;Hname:hname1;owner:abc@xyz.com
Assetid | 12349, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Tomcat,additional_info | IP:10.20.30.45;Hname:hname1;owner:abc@xyz.com
Assetid | 12350, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Apache,additional_info | IP:10.20.30.46;Hname:hname1;owner:abc@xyz.com
Assetid | 12351, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Nginx,additional_info | IP:10.20.30.44;Hname:hname1;owner:abc@xyz.com
Assetid | 12352, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Tomcat,additional_info | IP:10.20.30.45;Hname:hname1;owner:abc@xyz.com
Assetid | 12353, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Apache,additional_info | IP:10.20.30.46;Hname:hname1;owner:abc@xyz.com
Assetid | 12354, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Nginx,additional_info | IP:10.20.30.44;Hname:hname1;owner:abc@xyz.com
Assetid | 12355, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Tomcat,additional_info | IP:10.20.30.45;Hname:hname1;owner:abc@xyz.com
Assetid | 12356, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Apache,additional_info | IP:10.20.30.46;Hname:hname1;owner:abc@xyz.com
Assetid | 12357, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Nginx,additional_info | IP:10.20.30.44;Hname:hname1;owner:abc@xyz.com
Assetid | 12358, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Tomcat,additional_info | IP:10.20.30.45;Hname:hname1;owner:abc@xyz.com
Assetid | 12359, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Apache,additional_info | IP:10.20.30.46;Hname:hname1;owner:abc@xyz.com
Assetid | 12360, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Nginx,additional_info | IP:10.20.30.44;Hname:hname1;owner:abc@xyz.com
Assetid | 12361, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Tomcat,additional_info | IP:10.20.30.45;Hname:hname1;owner:abc@xyz.com
Assetid | 12362, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Apache,additional_info | IP:10.20.30.46;Hname:hname1;owner:abc@xyz.com
Assetid | 12363, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Nginx,additional_info | IP:10.20.30.44;Hname:hname1;owner:abc@xyz.com
Assetid | 12364, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Tomcat,additional_info | IP:10.20.30.45;Hname:hname1;owner:abc@xyz.com
Assetid | 12365, TechStack | OS:RHEL;Version:6.8.7;DB:MongoDB;Middleware:Apache,additional_info | IP:10.20.30.46;Hname:hname1;owner:abc@xyz.com
